Date,VOO,VEA,VWO,VNQ
2011-01-01,96.78079223632812,27.318588256835938,35.71788787841797,38.15578842163086
2011-02-01,100.13567352294922,28.317224502563477,35.656429290771484,39.95112228393555
2011-03-01,99.69163513183594,27.599685668945312,37.60787582397461,39.023433685302734
2011-04-01,103.07842254638672,29.318042755126953,38.87556457519531,41.56648254394531
2011-05-01,101.87252044677734,28.52626609802246,37.730812072753906,42.13790512084961
2011-06-01,99.67550659179688,28.178470611572266,37.354339599609375,40.403446197509766
2011-07-01,98.1015853881836,27.50508689880371,37.123863220214844,41.384979248046875
2011-08-01,92.69023132324219,25.144550323486328,33.751060485839844,39.059452056884766
2011-09-01,85.91773986816406,22.295616149902344,27.52788543701172,34.489742279052734
2011-10-01,95.68170166015625,24.47117042541504,31.90715980529785,39.80156707763672
2011-11-01,95.39788055419922,23.960582733154297,31.361671447753906,38.288639068603516
2011-12-01,95.898681640625,22.66560935974121,29.356435775756836,39.70571517944336
2012-01-01,100.78791046142578,24.76520347595215,33.297508239746094,42.706787109375
2012-02-01,105.10353088378906,25.974750518798828,35.10672378540039,42.21533966064453
2012-03-01,108.09260559082031,26.051319122314453,34.194244384765625,44.056514739990234
2012-04-01,107.88317108154297,25.439462661743164,33.478431701660156,45.68048095703125
2012-05-01,101.40614318847656,22.598390579223633,29.907190322875977,43.62217330932617
2012-06-01,105.0494613647461,24.17591094970703,31.409622192382812,45.6525764465332
2012-07-01,106.87178802490234,24.2371768951416,31.472553253173828,46.95039749145508
2012-08-01,109.55078887939453,25.033588409423828,31.55122184753418,46.94336700439453
2012-09-01,111.77197265625,25.17909812927246,32.81767654418945,45.705238342285156
2012-10-01,110.14767456054688,25.965518951416016,33.043487548828125,45.650367736816406
2012-11-01,110.77822875976562,26.66878318786621,33.46559524536133,45.529815673828125
2012-12-01,111.10205078125,27.52830696105957,35.464622497558594,46.657264709472656
2013-01-01,117.68559265136719,28.865951538085938,35.85478973388672,48.99031448364258
2013-02-01,119.24761962890625,28.534521102905273,35.009918212890625,49.58601379394531
2013-03-01,122.97248840332031,28.747583389282227,34.51908874511719,50.61949920654297
2013-04-01,126.14241027832031,30.38062286376953,35.25946807861328,54.44559860229492
2013-05-01,129.0743865966797,29.477048873901367,33.4707145690918,51.19101333618164
2013-06-01,126.48728942871094,28.2168025970459,31.25490951538086,49.701133728027344
2013-07-01,133.87118530273438,30.14212417602539,31.898893356323242,50.62915802001953
2013-08-01,129.74563598632812,29.65920639038086,30.80457305908203,47.09519577026367
2013-09-01,133.47244262695312,31.856483459472656,32.772727966308594,48.29264450073242
2013-10-01,140.136474609375,33.013980865478516,34.47843933105469,50.93815612792969
2013-11-01,144.3350372314453,33.23219299316406,34.15727996826172,48.26341247558594
2013-12-01,147.34019470214844,33.68476867675781,33.877296447753906,47.57076644897461
2014-01-01,142.91310119628906,32.099979400634766,31.187240600585938,50.37797164916992
2014-02-01,149.4378204345703,34.00923156738281,32.197288513183594,52.929805755615234
2014-03-01,150.068359375,33.52988815307617,33.59645462036133,52.84748840332031
2014-04-01,151.84442138671875,34.422794342041016,33.986026763916016,54.94028854370117
2014-05-01,155.3284454345703,35.03044509887695,35.040313720703125,56.258419036865234
2014-06-01,157.86224365234375,34.972965240478516,35.80404281616211,56.37141799926758
2014-07-01,156.3902587890625,34.553932189941406,36.64670181274414,56.94208526611328
2014-08-01,162.6031036376953,34.64534378051758,38.05490493774414,58.675453186035156
2014-09-01,159.5983123779297,33.03315353393555,34.961883544921875,54.62335968017578
2014-10-01,164.2119903564453,33.08964157104492,36.11566925048828,60.609703063964844
2014-11-01,168.7406005859375,33.08964157104492,35.71759033203125,61.822044372558594
2014-12-01,167.29324340820312,31.644426345825195,33.89655685424805,62.15199661254883
2015-01-01,162.48936462402344,32.0692138671875,33.97783660888672,67.31570434570312
2015-02-01,171.55552673339844,34.04465103149414,35.5601806640625,64.84242248535156
2015-03-01,168.00363159179688,33.481441497802734,34.76900100708008,65.5735092163086
2015-04-01,170.55653381347656,34.93013381958008,37.41147994995117,62.10808563232422
2015-05-01,172.68963623046875,34.91324996948242,36.08205032348633,61.92031478881836
2015-06-01,168.53945922851562,33.4778938293457,34.83784103393555,58.43858337402344
2015-07-01,173.0126953125,34.39284133911133,32.958980560302734,62.43581008911133
2015-08-01,162.39608764648438,31.90506935119629,29.707809448242188,58.507869720458984
2015-09-01,157.55409240722656,30.468822479248047,28.460664749145508,59.70127487182617
2015-10-01,171.77845764160156,32.6640510559082,30.37757682800293,63.770347595214844
2015-11-01,172.50865173339844,32.41504669189453,29.680049896240234,63.37123107910156
2015-12-01,168.50624084472656,31.530616760253906,28.520395278930664,63.642635345458984
2016-01-01,161.18557739257812,29.96965217590332,27.01278305053711,62.313846588134766
2016-02-01,160.8500213623047,29.045255661010742,26.9251651763916,62.08723449707031
